State;Age;Cost_kr_Mean;Cost_kr_SE;Cost_Mean;Cost_SE;;;;;
OW;20;8635,614;578,3268;989,358309;66,25729507;;;;;
OW;21;8784,08;575,7183;1006,367646;65,95844647;;;;;
OW;22;8934,774;572,9517;1023,632239;65,64148479;;;;;
OW;23;9087,729;570,033;1041,155869;65,30709744;;;;;
OW;24;9242,978;566,9689;1058,942315;64,95605201;;;;;
OW;25;9400,552;563,7677;1076,995131;64,58929942;;;;;
OW;26;9560,486;560,439;1095,318325;64,20793951;;;;;
OW;27;9722,813;556,9939;1113,915679;63,81324397;;;;;
OW;28;9887,568;553,4453;1132,791201;63,40669073;;;;;
OW;29;10054,79;549,808;1151,949361;62,98997537;;;;;
OW;30;10224,5;546,0987;1171,392565;62,56501117;;;;;
OW;31;10396,75;542,3367;1191,126769;62,13400928;;;;;
OW;32;10571,58;538,5436;1211,156556;61,69944435;;;;;
OW;33;10749,01;534,7436;1231,484218;61,2640889;;;;;
OW;34;10929,08;530,9643;1252,114338;60,831105;;;;;
OW;35;11111,84;527,236;1273,052644;60,40396403;;;;;
OW;36;11297,33;523,5927;1294,303718;59,98656126;;;;;
OW;37;11485,58;520,0721;1315,870997;59,5832159;;;;;
OW;38;11676,63;516,7157;1337,759065;59,19868248;;;;;
OW;39;11870,52;513,5689;1359,972504;58,83816234;;;;;
OW;40;12067,3;510,6815;1382,517042;58,50736094;;;;;
OW;41;12267,01;508,1076;1405,397262;58,21247637;;;;;
OW;42;12469,69;505,9055;1428,617746;57,96018789;;;;;
OW;43;12675,38;504,1376;1452,183078;57,7576445;;;;;
OW;44;12884,13;502,8705;1476,098986;57,61247637;;;;;
OW;45;13095,98;502,1745;1500,370052;57,53273758;;;;;
OW;46;13310,98;502,123;1525,002005;57,52683737;;;;;
OW;47;13529,17;502,792;1549,999427;57,60348284;;;;;
OW;48;13750,6;504,2593;1575,368047;57,77158733;;;;;
OW;49;13975,32;506,6039;1601,113593;58,04020164;;;;;
OW;50;14203,38;509,9042;1627,241794;58,41830784;;;;;
OW;51;14434,82;514,2378;1653,757232;58,91479636;;;;;
OW;52;14669,7;519,6798;1680,666781;59,53827118;;;;;
OW;53;14908,06;526,3018;1707,975024;60,29693533;;;;;
OW;54;15149,96;534,1708;1735,688835;61,1984648;;;;;
OW;55;15395,45;543,3486;1763,813943;62,24993985;;;;;
OW;56;15644,58;553,8908;1792,356075;63,45773042;;;;;
OW;57;15897,41;565,8463;1821,322106;64,82743885;;;;;
OW;58;16153,99;579,2573;1850,717764;66,36389987;;;;;
OW;59;16414,37;594,1594;1880,548777;68,07119207;;;;;
OW;60;16678,61;610,5814;1910,82202;69,952615;;;;;
OW;61;16946,77;628,5462;1941,544366;72,01079223;;;;;
OW;62;17218,91;648,0713;1972,72269;74,2477287;;;;;
OW;63;17495,08;669,1693;2004,36272;76,66486796;;;;;
OW;64;17775,35;691,8488;2036,472475;79,26319528;;;;;
OW;65;18059,77;716,1154;2069,057685;82,04335224;;;;;
OW;66;18348,41;741,9722;2102,126368;85,00569399;;;;;
OW;67;18641,33;769,4204;2135,685398;88,15035802;;;;;
OW;68;18938,6;798,4604;2169,742797;91,47739016;;;;;
